CustomerID,Age,Annual_Income,Spending_Score,Purchase_Frequency,Avg_Order_Value,Gender,Region
CUST0065,34,114704,56,43,487.86,Male,South
CUST0066,53,69115,94,46,366.51,Female,East
CUST0067,67,111007,63,4,335.35,Female,East
CUST0068,57,108223,48,26,383.39,Male,South
CUST0069,21,80890,61,29,477.27,Male,East
CUST0070,19,86387,81,45,455.75,Male,North
CUST0071,23,38071,26,34,367.66,Male,West
CUST0072,59,79275,36,23,379.6,Female,North
CUST0073,21,92369,1,37,90.04,Female,West
CUST0074,46,31938,8,11,69.34,Female,South
CUST0075,35,55195,99,6,294.03,Male,North
CUST0076,43,111680,52,18,28.82,Male,South
CUST0077,61,24000,79,21,251.53,Male,South
CUST0078,51,90588,47,42,120.97,Female,West
CUST0079,27,121042,56,36,186.09,Male,West
CUST0080,53,113610,86,41,392.39,Female,West
CUST0081,31,140420,14,38,471.79,Male,North
CUST0082,48,123691,90,34,54.76,Female,East
CUST0083,65,126306,28,17,276.44,Female,West
CUST0084,32,117856,87,37,443.62,Male,West
CUST0085,25,58304,78,25,59.6,Male,North
CUST0086,31,131783,88,38,415.77,Female,West
CUST0087,40,89449,2,12,191.74,Female,North
CUST0088,57,102986,26,23,174.61,Male,South
CUST0089,38,109643,14,42,489.18,Male,West
CUST0090,33,40764,59,22,116.41,Female,West
CUST0091,62,128940,56,21,352.73,Male,South
CUST0092,35,106027,7,27,414.29,Female,South
CUST0093,64,58494,3,31,39.77,Female,South
CUST0094,41,23373,23,6,341.79,Male,West
CUST0095,43,32161,18,27,476.74,Male,East
CUST0096,42,117532,38,40,79.63,Male,East
CUST0097,62,112658,99,34,450.19,Male,East
CUST0098,58,143633,15,12,305.49,Male,West
CUST0099,46,120386,64,45,315.97,Female,South
CUST0100,32,47350,89,7,314.21,Female,West
CUST0101,62,113008,28,10,163.44,Male,South
CUST0102,18,114297,74,45,468.9,Male,West
CUST0103,42,45351,39,17,474.73,Male,West
CUST0104,24,108668,57,26,320.15,Female,South
CUST0105,26,134585,17,21,396.04,Male,East
CUST0106,41,35305,86,28,313.88,Male,South
CUST0107,18,95353,90,46,252.51,Female,North
CUST0108,61,96797,44,2,337.19,Female,North
CUST0109,25,85953,25,43,285.44,Male,South
CUST0110,41,77458,17,1,306.79,Male,West
CUST0111,28,127112,13,51,396.24,Male,North
CUST0112,68,40358,84,36,250.83,Female,North
CUST0113,34,23267,25,51,39.56,Male,West
CUST0114,25,102745,68,26,98.72,Male,West
CUST0115,52,109588,10,29,230.53,Male,East
CUST0116,52,58513,67,21,367.92,Female,West
CUST0117,50,46092,18,11,304.77,Female,South
CUST0118,22,31338,86,40,332.14,Male,South
CUST0119,59,20412,34,11,250.05,Male,East
CUST0120,56,27543,8,36,315.56,Female,North
CUST0121,58,125891,40,49,177.93,Female,North
CUST0122,45,53496,83,39,245.69,Female,West
CUST0123,24,80692,42,40,377.25,Female,South
CUST0124,26,109084,41,35,438.48,Female,North
CUST0125,25,112920,6,34,228.15,Female,East
CUST0126,29,143555,52,47,40.96,Female,East
CUST0127,51,64425,26,24,97.6,Female,South
CUST0128,50,58756,64,22,30.01,Female,East
CUST0129,65,38888,98,5,333.57,Male,East
CUST0130,40,55735,59,33,179.51,Male,South
CUST0131,41,67295,56,36,280.39,Male,West
CUST0132,54,137474,59,47,256.77,Female,West
CUST0133,52,134352,70,20,59.13,Male,East
CUST0134,61,103042,33,19,213.57,Female,West
CUST0135,57,105999,53,35,125.87,Female,West
CUST0136,39,37955,22,43,220.83,Male,East
CUST0137,44,57841,21,17,117.72,Female,West
CUST0138,52,90640,70,45,423.42,Male,East
CUST0139,18,85510,70,43,103.61,Male,North
CUST0140,52,54911,4,34,481.17,Male,South
CUST0141,54,79031,94,9,219.64,Female,South
CUST0142,64,108726,75,26,426.2,Male,West
CUST0143,31,27357,62,2,321.81,Female,West
CUST0144,20,52479,62,9,372.97,Male,West
CUST0145,18,81476,94,9,388.51,Male,South
CUST0146,22,64811,95,40,262.33,Male,North
CUST0147,43,56208,24,17,280.78,Female,North
CUST0148,31,40150,55,1,266.72,Female,South
CUST0149,56,91180,9,25,302.27,Female,North
CUST0150,44,63286,3,43,34.11,Male,South
CUST0151,26,132856,31,40,209.85,Male,North
CUST0152,32,88450,40,42,310.97,Female,East
CUST0153,32,41352,36,25,306.91,Female,East
CUST0154,43,75069,24,39,400.62,Female,South
CUST0155,59,131888,95,35,334.4,Female,North
CUST0156,30,130448,6,3,496.22,Female,West
CUST0157,68,34397,66,50,156.25,Female,North
CUST0158,49,61555,84,37,192.39,Male,East
CUST0159,56,66959,92,44,204.25,Female,East
CUST0160,66,20728,75,44,243.59,Male,North
CUST0161,69,70517,4,51,421.28,Male,North
CUST0162,49,139180,79,30,133.18,Female,West
CUST0163,21,86234,6,38,392.48,Female,West
CUST0164,47,59954,94,34,214.55,Male,North
CUST0165,54,67280,51,12,308.89,Female,North
CUST0166,40,99459,62,19,323.62,Female,North
CUST0167,56,36779,57,37,198.97,Male,North
CUST0168,62,83932,66,44,266.06,Male,South
CUST0169,32,92936,79,49,218.25,Male,North
CUST0170,60,44466,75,17,53.18,Female,West
CUST0171,46,56939,8,10,229.84,Male,East
CUST0172,53,89896,26,49,66.75,Female,South
CUST0173,30,55270,51,47,214.41,Male,North
CUST0174,49,79163,45,12,304.6,Male,East
CUST0175,24,102637,44,16,298.12,Male,South
CUST0176,68,71934,5,24,338.06,Female,East
CUST0177,39,84895,70,19,65.73,Female,North
CUST0178,45,52307,26,8,333.02,Male,North
CUST0179,19,74098,68,31,169.83,Male,West
CUST0180,59,80921,19,21,211.54,Male,North
CUST0181,62,25486,84,17,431.83,Female,North
CUST0182,23,28335,97,23,24.33,Male,South
CUST0183,45,106900,20,37,302.44,Female,West
CUST0184,45,146020,12,16,307.38,Male,South
CUST0185,61,141954,47,6,210.4,Male,East
CUST0186,61,122795,1,8,133.77,Male,North
CUST0187,37,109112,90,25,132.64,Male,East
CUST0188,47,117203,14,18,444.18,Male,South
CUST0189,28,31130,64,25,232.17,Male,North
CUST0190,45,107508,38,12,178.83,Female,North
CUST0191,42,125955,37,15,235.41,Male,South
CUST0192,56,138324,11,26,341.31,Female,South
CUST0193,50,80566,77,41,89.96,Male,South
CUST0194,18,86703,3,45,235.73,Male,South
CUST0195,44,47192,33,26,302.18,Female,South
CUST0196,69,21062,6,47,475.32,Male,North
CUST0197,30,104076,50,32,141.21,Female,South
CUST0198,58,109780,10,10,192.44,Female,North
CUST0199,20,41545,5,16,202.09,Male,North
CUST0200,56,41689,23,7,310.66,Female,South
CUST0201,23,31174,10,17,191.23,Female,South
CUST0202,25,108461,44,23,276.09,Male,West
CUST0203,44,146174,2,26,395.26,Female,North
CUST0204,26,123033,13,21,358.59,Male,South
CUST0205,54,29348,40,22,234.26,Male,South
CUST0206,50,43714,2,7,434.82,Male,South
CUST0207,68,58102,84,14,287.91,Male,West
CUST0208,59,94460,65,15,279.15,Female,West
CUST0209,61,122634,63,7,36.41,Male,East
CUST0210,41,109930,73,9,493.61,Male,North
CUST0211,32,26801,17,51,79.03,Female,East
CUST0212,49,123150,9,48,130.94,Male,South
CUST0213,49,92267,75,8,44.81,Male,West
CUST0214,41,68136,15,50,327.2,Female,West
CUST0215,58,43625,24,23,127.86,Female,East
CUST0216,69,102873,38,29,106.41,Female,West
CUST0217,66,120843,35,18,62.51,Female,South
CUST0218,66,92592,94,31,69.59,Female,West
CUST0219,69,97052,95,30,300.64,Female,East
CUST0220,29,64261,49,39,350.34,Female,South
CUST0221,56,21542,69,35,210.74,Male,East
CUST0222,19,41677,62,18,250.35,Female,West
CUST0223,20,66732,60,42,349.26,Female,East
CUST0224,66,70343,50,39,28.34,Female,East
CUST0225,54,59081,78,17,175.1,Male,North
CUST0226,66,82856,75,14,487.09,Male,West
CUST0227,34,113105,9,31,298.45,Female,West
CUST0228,66,108858,34,24,142.03,Female,East
CUST0229,19,39065,76,35,270.43,Female,North
CUST0230,19,144097,99,44,184.47,Male,West
CUST0231,45,103460,35,45,275.48,Male,South
CUST0232,40,108092,1,34,80.36,Female,East
CUST0233,54,146116,40,3,83.7,Male,West
CUST0234,49,74693,64,37,88.9,Female,South
CUST0235,50,46962,22,43,471.11,Male,West
CUST0236,18,48295,60,40,371.79,Male,South
CUST0237,36,33807,64,26,97.94,Female,East
CUST0238,19,62348,93,23,110.41,Female,West
CUST0239,61,46432,72,44,370.8,Female,West
CUST0240,43,103285,11,39,94.96,Female,North
CUST0241,49,126995,14,15,132.59,Male,East
CUST0242,23,111792,60,49,482.41,Male,South
CUST0243,49,77854,30,4,142.55,Male,West
CUST0244,21,60262,35,29,337.58,Female,West
CUST0245,28,57080,85,22,489.74,Male,South
CUST0246,34,21324,37,25,199.66,Female,East
CUST0247,55,111267,5,13,28.41,Male,North
CUST0248,41,144707,83,18,137.19,Female,North
CUST0249,22,55909,78,33,418.82,Female,West
CUST0250,69,109339,26,16,435.01,Male,South
CUST0251,51,39870,62,45,388.89,Female,West
CUST0252,23,54578,4,42,74.29,Female,South
CUST0253,39,92124,89,44,401.84,Male,North
CUST0254,28,137611,42,2,460.97,Female,East
CUST0255,65,123605,89,35,308.29,Female,South
CUST0256,33,46790,18,42,471.62,Female,North
CUST0257,50,138874,40,34,416.88,Male,West
CUST0258,26,45289,72,30,340.15,Male,South
CUST0259,23,75129,39,13,297.05,Female,East
CUST0260,33,113714,14,13,187.32,Male,West
CUST0261,46,114246,32,18,96.46,Female,West
CUST0262,20,35485,51,32,310.38,Female,North
CUST0263,37,64482,38,32,172.69,Female,South
CUST0264,53,106188,97,35,435.89,Female,West
CUST0265,36,24748,23,39,496.8,Female,East
CUST0266,43,106769,63,46,381.17,Male,South
CUST0267,20,29435,15,29,63.43,Female,East
CUST0268,36,23709,97,49,158.57,Male,West
CUST0269,37,143961,25,29,72.37,Male,East
CUST0270,49,50355,17,44,332.25,Female,North
CUST0271,24,75771,97,16,387.29,Female,East
CUST0272,69,77799,66,44,464.32,Male,South
CUST0273,58,33116,78,47,230.32,Male,East
CUST0274,50,45470,53,10,452.66,Male,East
CUST0275,57,62344,51,30,441.39,Female,North
CUST0276,56,62918,39,25,172.25,Male,East
CUST0277,35,72224,51,39,437.07,Female,East
CUST0278,57,59298,70,20,200.32,Female,West
CUST0279,18,128492,6,5,162.5,Female,West
CUST0280,28,100219,67,1,331.56,Male,South
CUST0281,45,81629,7,30,177.62,Female,West
CUST0282,42,86040,51,49,322.5,Female,West
CUST0283,67,119518,72,3,312.72,Female,West
CUST0284,40,119835,42,45,290.45,Female,West
CUST0285,48,48016,64,14,202.6,Female,North
CUST0286,47,43960,15,30,283.28,Male,West
CUST0287,59,53591,29,50,306.31,Female,North
CUST0288,52,102848,33,4,281.93,Female,North
CUST0289,24,123333,94,18,233.32,Male,West
CUST0290,33,131732,27,37,27.04,Female,East
CUST0291,43,134821,36,25,301.79,Male,North
CUST0292,65,87641,29,48,100.85,Female,East
CUST0293,69,56395,38,1,328.44,Male,East
CUST0294,66,131276,57,46,384.49,Male,West
CUST0295,19,149695,97,15,260.21,Female,South
CUST0296,18,42700,27,9,280.33,Female,West
CUST0297,65,54620,55,15,476.71,Female,South
CUST0298,29,123214,33,49,426.64,Male,South
CUST0299,22,148148,68,24,458.83,Male,West
CUST0300,54,40559,86,4,410.61,Male,West
CUST0301,49,113045,66,12,72.28,Female,South
CUST0302,26,113396,10,37,91.52,Male,West
CUST0303,58,81642,5,37,272.78,Male,South
CUST0304,52,96539,74,43,138.11,Female,East
CUST0305,36,41732,97,6,248.81,Male,West
CUST0306,65,148675,38,39,209.3,Male,East
CUST0307,33,111362,13,46,283.72,Female,North
CUST0308,20,50354,31,24,378.5,Male,East
CUST0309,37,33843,47,11,363.44,Female,East
CUST0310,41,130008,88,13,270.19,Female,South
CUST0311,50,134065,52,34,414.75,Female,East
CUST0312,41,91726,56,25,226.81,Female,West
CUST0313,69,37640,15,7,450.42,Female,South
CUST0314,28,72528,29,4,54.21,Male,North
CUST0315,66,58413,8,8,478.24,Male,West
CUST0316,25,148142,5,20,334.25,Female,North
CUST0317,53,72638,29,29,202.44,Female,East
CUST0318,55,72736,47,51,114.63,Male,West
CUST0319,57,127892,68,45,250.01,Female,West
CUST0320,37,130133,76,46,113.39,Female,North
CUST0321,52,126357,45,10,99.84,Female,West
CUST0322,65,88866,2,43,316.33,Male,West
CUST0323,42,39087,27,34,271.08,Male,West
CUST0324,52,61430,95,26,341.65,Female,East
CUST0325,42,44504,36,41,466.21,Female,North
CUST0326,46,27114,36,49,275.48,Male,West
CUST0327,35,98859,26,3,298.85,Male,South
CUST0328,63,119657,43,6,63.02,Female,South
CUST0329,35,30975,27,5,364.47,Female,South
CUST0330,19,31023,69,5,211.95,Male,South
CUST0331,52,41447,20,47,488.83,Male,East
CUST0332,33,110469,11,23,415.12,Male,West
CUST0333,58,145899,74,49,270.79,Female,North
CUST0334,53,43959,38,9,79.15,Male,West
CUST0335,50,86203,6,35,432.52,Female,East
CUST0336,21,139156,72,20,403.89,Male,South
CUST0337,50,49703,23,49,108.6,Male,East
CUST0338,31,29337,47,42,161.73,Male,West
CUST0339,38,66427,90,35,400.84,Male,North
CUST0340,65,141507,46,50,108.91,Female,East
CUST0341,37,81529,12,18,460.52,Female,North
CUST0342,25,122023,90,17,223.77,Male,East
CUST0343,24,104665,13,24,61.78,Female,North
CUST0344,20,125787,62,3,411.56,Male,North
CUST0345,34,51921,82,32,199.28,Male,South
CUST0346,50,53307,89,35,272.72,Male,North
CUST0347,65,47355,97,38,73.91,Male,South
CUST0348,29,123268,60,13,21.24,Female,West
CUST0349,68,147016,43,47,326.23,Male,West
CUST0350,39,24835,76,25,267.28,Male,South
CUST0351,39,40159,68,9,304.9,Female,South
CUST0352,63,124346,5,4,401.0,Male,East
CUST0353,47,67605,37,14,330.37,Male,East
CUST0354,55,141790,72,37,103.89,Male,East
CUST0355,55,125616,92,34,193.17,Female,West
CUST0356,62,58088,31,11,454.83,Male,East
CUST0357,68,98752,9,41,389.57,Female,North
CUST0358,25,75284,51,3,287.19,Male,North
CUST0359,44,77043,29,28,142.71,Male,East
CUST0360,44,145388,78,29,164.99,Female,North
CUST0361,51,55547,40,9,371.34,Male,West
CUST0362,38,117007,41,3,428.56,Male,North
CUST0363,47,102844,86,25,342.28,Female,West
CUST0364,50,47532,11,34,408.57,Female,South
CUST0365,45,54349,23,12,387.99,Female,South
CUST0366,64,142402,1,42,91.86,Female,South
CUST0367,50,138012,46,9,223.49,Female,South
CUST0368,22,65445,21,15,93.43,Male,North
CUST0369,65,25713,90,40,132.91,Female,East
CUST0370,36,76178,36,25,437.24,Male,North
CUST0371,21,69407,54,5,246.99,Male,West
CUST0372,52,90340,87,11,276.97,Male,North
CUST0373,66,70990,57,34,105.65,Female,North
CUST0374,34,95672,1,24,169.89,Female,West
CUST0375,61,149473,63,15,130.52,Male,South
CUST0376,45,85545,54,38,118.97,Female,South
CUST0377,47,104791,55,8,326.22,Female,South
CUST0378,46,78141,40,5,143.3,Female,East
CUST0379,63,43793,15,48,323.37,Female,West
CUST0380,23,76570,21,26,48.06,Male,West
CUST0381,52,115084,47,18,88.05,Male,North
CUST0382,58,57892,73,6,151.78,Female,East
CUST0383,54,21015,53,37,306.58,Male,South
CUST0384,41,144704,9,48,344.4,Female,East
CUST0385,46,81813,74,13,232.5,Female,West
CUST0386,66,47712,52,28,233.98,Male,West
CUST0387,63,120497,57,5,367.77,Male,North
CUST0388,48,28415,26,13,27.59,Male,North
CUST0389,52,131854,41,17,183.72,Female,West
CUST0390,50,132816,35,50,412.98,Male,South
CUST0391,69,148778,63,40,309.55,Female,South
CUST0392,38,82292,25,45,181.87,Male,East
CUST0393,49,43833,90,32,454.65,Male,West
CUST0394,40,24158,75,29,390.86,Female,West
CUST0395,50,82680,38,51,147.15,Female,South
CUST0396,20,40309,2,3,329.74,Female,South
CUST0397,35,26970,7,40,305.96,Female,West
CUST0398,42,92474,82,34,212.57,Female,North
CUST0399,59,106704,91,40,196.14,Female,West
CUST0400,48,66540,34,27,184.91,Female,West
CUST0401,20,40384,91,13,316.23,Female,South
CUST0402,57,38017,17,45,232.36,Male,South
CUST0403,63,95880,43,33,419.29,Female,North
CUST0404,41,125570,59,6,341.41,Female,North
CUST0405,67,28702,51,24,53.57,Male,East
CUST0406,49,20384,54,19,327.28,Female,West
CUST0407,64,20404,24,16,150.15,Male,South
CUST0408,39,60943,25,40,304.55,Male,North
CUST0409,40,67926,71,28,346.46,Female,East
CUST0410,19,49189,52,33,130.8,Male,East
CUST0411,44,32763,70,48,239.29,Female,South
CUST0412,59,38384,88,41,111.36,Male,South
CUST0413,19,80100,33,13,45.12,Male,East
CUST0414,43,118142,49,43,201.67,Male,North
CUST0415,34,29860,29,45,194.21,Female,East
CUST0416,57,124293,63,25,497.83,Female,West
CUST0417,50,100642,22,42,234.25,Male,West
CUST0418,26,70612,26,36,180.11,Male,South
CUST0419,60,43574,28,27,298.63,Female,North
CUST0420,65,43524,85,38,62.61,Female,North
CUST0421,56,89172,49,7,481.6,Male,West
CUST0422,46,30916,71,5,324.78,Male,East
CUST0423,59,24809,81,43,382.32,Female,South
CUST0424,43,52201,84,45,101.83,Female,East
CUST0425,52,73330,49,51,216.55,Female,East
CUST0426,67,33456,20,31,222.89,Female,East
CUST0427,42,133748,86,23,414.47,Female,North
CUST0428,41,76397,92,42,20.59,Male,West
CUST0429,30,141288,63,10,164.41,Female,North
CUST0430,24,58765,61,32,490.99,Male,West
CUST0431,53,54816,49,43,247.95,Female,South
CUST0432,62,65106,71,30,203.61,Male,South
CUST0433,37,73932,1,39,77.52,Female,East
CUST0434,18,37100,96,31,487.6,Female,West
CUST0435,25,77091,13,18,29.61,Male,West
CUST0436,63,41949,94,36,373.85,Male,West
CUST0437,33,90080,87,2,388.93,Female,East
CUST0438,31,57744,51,14,136.96,Female,East
CUST0439,29,65543,56,13,342.35,Female,South
CUST0440,68,128319,83,29,64.61,Female,North
CUST0441,40,112193,62,12,143.38,Female,West
CUST0442,32,56187,32,39,398.19,Male,West
CUST0443,45,132734,30,2,435.05,Male,North
CUST0444,51,27239,29,32,312.07,Female,West
CUST0445,19,144454,49,13,263.28,Male,East
CUST0446,49,34489,45,46,96.47,Male,East
CUST0447,40,134937,93,27,50.29,Male,West
CUST0448,39,78017,30,49,76.47,Female,East
CUST0449,68,81877,16,41,129.13,Male,East
CUST0450,42,63125,40,17,184.0,Female,West
CUST0451,39,69922,19,40,202.84,Male,South
CUST0452,39,114074,18,31,186.23,Female,North
CUST0453,66,52049,1,34,134.75,Male,East
CUST0454,69,57131,78,24,264.67,Female,South
CUST0455,59,62944,47,45,416.14,Female,East
CUST0456,23,135765,66,35,154.26,Male,East
CUST0457,32,93963,92,48,472.35,Female,North
CUST0458,60,126884,94,6,439.2,Female,East
CUST0459,54,145917,38,19,97.65,Female,North
CUST0460,50,44285,51,30,397.41,Female,North
CUST0461,25,57626,63,7,295.8,Female,North
CUST0462,61,62808,4,10,291.96,Female,South
CUST0463,61,108464,1,41,207.7,Female,West
CUST0464,22,73871,8,32,260.55,Female,South
CUST0465,56,39198,29,34,210.65,Male,West
CUST0466,21,39758,55,28,279.07,Male,West
CUST0467,23,35254,3,15,321.42,Female,North
CUST0468,62,64238,32,30,343.67,Female,East
CUST0469,49,21252,10,37,275.59,Male,North
CUST0470,69,59764,74,29,366.28,Male,East
CUST0471,47,97709,83,22,87.81,Male,West
CUST0472,64,57441,34,4,121.75,Female,North
CUST0473,52,112234,97,20,412.99,Male,East
CUST0474,57,73682,87,32,174.81,Female,South
CUST0475,69,79494,55,36,30.99,Female,East
CUST0476,33,101317,92,50,93.82,Male,North
CUST0477,30,85215,32,4,127.33,Female,South
CUST0478,67,98587,50,27,479.51,Female,East
CUST0479,59,125185,7,17,295.06,Female,East
CUST0480,47,26949,93,12,467.71,Female,East
CUST0481,36,127825,8,22,296.08,Male,East
CUST0482,34,75393,65,17,250.09,Male,East
CUST0483,36,93553,57,10,170.59,Female,South
CUST0484,45,26941,67,1,311.06,Female,West
CUST0485,43,45934,88,22,86.82,Male,South
CUST0486,54,43386,87,26,451.17,Female,South
CUST0487,43,145362,59,18,418.08,Male,South
CUST0488,40,81886,72,50,172.42,Female,West
CUST0489,26,95745,54,14,477.34,Female,North
CUST0490,29,103251,67,47,416.1,Male,West
CUST0491,18,114456,51,29,339.83,Male,South
CUST0492,18,73413,97,12,78.45,Male,East
CUST0493,64,76800,92,36,249.55,Male,East
CUST0494,51,117239,8,35,262.93,Female,South
CUST0495,49,62318,34,12,131.62,Male,East
CUST0496,65,139803,35,7,58.38,Female,South
CUST0497,42,90173,96,29,392.83,Male,East
CUST0498,57,90390,88,11,78.58,Male,West
CUST0499,62,72329,78,33,305.26,Female,North
CUST0500,18,142418,32,6,469.5,Male,North
